Game,School,Year,opp_name,same_conf,outcome,pts,opp_pts,home_game,height_diversity,ethnic_diversity,region_diversity,class_diversity,school_diversity,degree_diversity,experience_with_opponent,experience_in_arena,conference_size,conf_wl,opp_games_played,opponent_win_loss,Coach_Name,Coaching_Years,Coach_Win_Loss_Perc,Coach_NCAA_appear,Team_Comp_Change,Percentage_Dif_Points
3,brown,2007,Navy,0,-23,47,70,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,8,0.6,28,0.357,Craig Robinson,1,0.484,0,0.5294,-0.489361702
4,brown,2007,Providence,0,10,51,41,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,16,0.626,27,0.444,Craig Robinson,1,0.484,0,0.5294,0.196078431
5,brown,2007,Northwestern,0,-24,40,64,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,11,0.64,29,0.483,Craig Robinson,1,0.484,0,0.5294,-0.6
6,brown,2007,Army,0,-8,54,62,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,10,8,0.6,27,0.185,Craig Robinson,1,0.484,0,0.5294,-0.148148148
7,brown,2007,Wagner,0,5,66,61,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,11,0.64,27,0.481,Craig Robinson,1,0.484,0,0.5294,0.075757576
8,brown,2007,Quinnipiac,0,6,80,74,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,10,11,0.64,28,0.429,Craig Robinson,1,0.484,0,0.5294,0.075
9,brown,2007,Rhode Island,0,-4,68,72,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,14,0.631,28,0.5,Craig Robinson,1,0.484,0,0.5294,-0.058823529
10,brown,2007,Albany (NY),0,-10,52,62,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,9,0.583,32,0.656,Craig Robinson,1,0.484,0,0.5294,-0.192307692
11,brown,2007,Hartford,0,13,95,82,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,10,9,0.583,28,0.464,Craig Robinson,1,0.484,0,0.5294,0.136842105
12,brown,2007,Western Illinois,0,4,63,59,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,2,0,0,28,0.25,Craig Robinson,1,0.484,0,0.5294,0.063492063
13,brown,2007,Texas A&amp;M-Corpus Christi,0,-14,57,71,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,2,11,0.64,0,0,Craig Robinson,1,0.484,0,0.5294,-0.245614035
14,brown,2007,UC-Davis,0,-2,47,49,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,4,0.596,0,0,Craig Robinson,1,0.484,0,0.5294,-0.042553191
15,brown,2007,Southern Methodist,0,-4,56,60,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,1,1,12,0.642,29,0.448,Craig Robinson,1,0.484,0,0.5294,-0.071428571
16,brown,2007,Yale,1,-14,42,56,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,10,8,0.6,29,0.517,Craig Robinson,1,0.484,0,0.5294,-0.333333333
17,brown,2007,Yale,1,5,76,71,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,1,8,0.6,29,0.517,Craig Robinson,1,0.484,0,0.5294,0.065789474
18,brown,2007,Dartmouth,1,-4,52,56,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,1,8,0.6,27,0.222,Craig Robinson,1,0.484,0,0.5294,-0.076923077
19,brown,2007,Harvard,1,-4,88,92,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,1,8,0.6,27,0.481,Craig Robinson,1,0.484,0,0.5294,-0.045454545
20,brown,2007,Pennsylvania,1,-16,61,77,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,10,8,0.6,29,0.69,Craig Robinson,1,0.484,0,0.5294,-0.262295082
21,brown,2007,Princeton,1,15,63,48,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,10,8,0.6,27,0.444,Craig Robinson,1,0.484,0,0.5294,0.238095238
22,brown,2007,Cornell,1,-2,59,61,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,1,8,0.6,28,0.464,Craig Robinson,1,0.484,0,0.5294,-0.033898305
23,brown,2007,Columbia,1,-9,68,77,0,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,1,8,0.6,27,0.407,Craig Robinson,1,0.484,0,0.5294,-0.132352941
24,brown,2007,Harvard,1,4,70,66,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,10,8,0.6,27,0.481,Craig Robinson,1,0.484,0,0.5294,0.057142857
25,brown,2007,Dartmouth,1,20,53,33,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,10,8,0.6,27,0.222,Craig Robinson,1,0.484,0,0.5294,0.377358491
26,brown,2007,Columbia,1,5,64,59,1,0.132653061,0.540816327,0.56122449,0.602040816,0.408163265,0.551020408,2,10,8,0.6,27,0.407,Craig Robinson,1,0.484,0,0.5294,0.078125
